id,kood,nimi,markus,sort,tase,jrk
1,999999999, - Jääb ära - ,,2,3,
2,001,Lüroeepilised laulud,Lisatud tüübinimed: ERlA ja VK XI,1,1,
3,001001,Müütilised laulud,,1,2,
4,001002,Kosjafantaasiad ja pereelu,,1,2,
5,001003,Laulud argielust,sis. ka Kubjas ja teomees,1,2,
6,001004,Laulud sõjast,,1,2,
7,001005,Legendilaulud,,1,2,
8,001002004,Kaevul kosija,"VK III 144, VK IV 191, VK V 380, VK VI 18, VK VII 6, VK VIII 20, VK IX 17, VK X 11, VK XI 12, ERlV IV 54-55, ERlA 23; EKL IV; Kozjasõit – VK II 53",2,3,
9,011,Laulud noorrahva elust,,1,1,
10,011002,Poiste õpetamine,"Õpetused kaasavalikuks, käitumisjuhised jms",1,2,
11,011006,Kosjad,"Tule mulle!, kosilase toimetamised jne",1,2,
12,011006052,Neid pole püssil püütav,ERlA 2132. NEID POLE PÜSSIL PÜÜTAV,2,3,
13,002,Laulud laulust,,1,1,
14,003,Looduslaulud,"ka muinasjutulaulud, kui seal proosateksti pole",1,1,
15,003001,Aastaajad ja loodusnähtused,"mh aastaajad, päike-kuu, ilm, sademed jm – mis pole otsesõnu karjaselaulud",1,2,
16,003002,Taimed,,1,2,
17,003009,Loomad ja linnud,"mh linnud, mets- ja koduloomad, putukad, kalad",1,2,
18,003006,Mõistatuslaulud,,1,2,
19,004,Kalendrilaulud,Lisatud tüübinimed: ERlA ja VK XI ,1,1,
20,004001,Vastlalaulud,,1,2,
21,004002,Kiigelaulud,Vajavad täpsemat motiivide määramist kartoteegi alusel!,1,2,
22,004003,Jaanilaulud,,1,2,
23,004004,Sanditamislaulud,"Mardid, kadrid, tabanid, jõulusandid ja kes kõik veel. Vajavad täpsemat motiivide määramist kartoteegi alusel.",1,2,
24,004005,Jõululaulud,,1,2,
25,004006,Pühad,muud pühad ja pühad üldiselt,1,2,
26,005,Laulud meelelahutamiseks,,1,1,
27,005001,Laulumängud,Sisaldab ka siirdevormilisi laulumänge.,1,2,
28,005002,Pillimäng ja tants,,1,2,
29,005003,Külalised,Pidu ja kostitamine,1,2,
30,005004,Teekäigulaulud,,1,2,
31,005005,"Tubakas, kõrts ja joodikud",Kõik laulud meelemürkidest. Joodikulaulud joodiku seisukohast - ei sisalda hoiatusi neidudele ega abielunaise kurtmisi!,1,2,
32,005006,Naljalaulud,"Jorutused. Imed jms kelmikas kuni obstsöönani välja, mis ei käsitle otseselt sugueluga seotud rõõme ja muresid (nood on noortelaulude all).",1,2,
33,006,Töölaulud,,1,1,
34,006011,Karjaselaulud,Siin ka hõiked ja helletused?,1,2,
35,006002,Õitsilaulud,,1,2,
36,006003,Heinatöölaulud,,1,2,
37,006004,Kütis ja künd,,1,2,
38,006005,Lõikuslaulud,,1,2,
39,006006,Talgulaulud,,1,2,
40,006007,Rehepeksulaulud,,1,2,
41,006008,Meestetööd,"sis. teetegemine, sepp, puutöö, kalamees ja meresõit, jahimees, talupoeg",1,2,
42,006009,Naistetööd,"sis. lüpsilaulud, võitegemine, käsikivi ja keetmine, lina ja vill, ketrus ja kudumine, riietus, pesemine, pühkimine",1,2,
43,006010,Töökus-laiskus ja väsimus,,1,2,
44,007,Murelaulud,,1,1,
45,007001,Mure ja kurbus,,1,2,
46,007002,Surm,,1,2,
47,007003,Vaeslaps,"vaeslaps itkeb isa-ema, oma ema ja võõrasema, peretütar ja vaeslaps",1,2,
48,007004,Lesk,,1,2,
49,008,Laulud ühiskondlikest vahekordadest,,1,1,
50,008001,Rikas ja vaene,,1,2,
51,008002,Orja laulud,,1,2,
52,008003,Mõis,"Mõis ja selle tegelased, saks, mõisategu, kubjas, muud mõisateenijad, peks mõisas, teomees, kohus",1,2,
53,008004,Küla,"Teie ja meie, võõra küla laitus, laim, tüli, riid, nälg ja õnnetused, kerjus, vargus",1,2,
54,008005,Peremees ja sulane,"Raske sulasepõli, söök, palk, kättemaks, saunanaine ja sulasenaine, sulase vara, pererahvas ja sulasrahvas",1,2,
55,009,Laulud sõjast ja nekrutist,,1,1,
56,009001,Nekrutilaulud,"Häda ja viletsus, põlatu soldatiks jne",1,2,
57,009002,Sõjalaulud,"Mälestus muistsest ajast, sõjad jm ajaloolised sündmused",1,2,
58,010,Laulud kodust ja lapsepõlvest,,1,1,
59,010001,Kodu,Oma kodu - kuldne kodu jmt,1,2,
60,010002,Ema ja tütar,"Memme vaev jne, siia ka tütrepõli",1,2,
61,010003,Sugulased,"Poeg, vend-õde, teised sugulased",1,2,
62,010005,Kasvatus asjata,Kurb ja kuri,1,2,
63,011001,Poisid,"Kiitlemine, ööhulkuja jne, sh pilge ja sõim",1,2,
64,011003,Neiud,Karske neiu jne. Siia ka sõim ja langenud neiu,1,2,
