id,sona,hierarhia_id,sort
1,(?) Kaevul kosija,8,2
2,Kaeval kosija,8,2
3,Kaevul,8,2
4,Kaevul kosija,8,2
5,Kaevul kosilane,8,2
6,Kaevul kosija (NB!),8,2
7,Kaevul kosimine,8,2
8,Kaevul kosja,8,2
9,(?)Salme,127,2
10,Salme,127,2
11,Loomine,123,2
12,Loomise laul,123,2
13,Harja otsimine,124,2
14,Harja otsimine.,124,2
15,Ilma tütar,128,2
16,Ilma neitsi,128,2
17,Ilmaneiu,128,2
18,Ilma neiu,128,2
19,Ilus tütar ilma veere peal,128,2
20,Ilmatütar,128,2
21,Kuldnaine,129,2
22,Loomiselaul,123,2
23,Loomislaul,123,2
24,Mõõk,125,2
25,Mõõk - sõda,156,2
26,Mõõk meres,125,2
27,Kadri l.,202,2
28,Kadri laul,202,2
29,Kadri mangumine,203,2
31,Kadrisandi l.,202,2
32,Kadrisandi laul,202,2
33,Kadrisant,203,2
34,Kadrisantide l,202,2
35,Kadrisantide laul,202,2
36,Kadrisantide tänamine,204,2
37,Kadri minemise laul,204,2
38,Kadrina kuningas,252,2
39,Kadrilaul,202,2
40,Kiigele jooksmine,265,2
41,Mõõk merest,125,2
42,Kiige kidisemine,288,2
43,Kiige kiunumine,288,2
44,Kiige katsumine,267,2
45,Kiigele mune,258,2
46,(Suur härg?),126,2
47,Suur härg,126,2
48,Kiik kidiseb - tahab andeid,288,2
49,Kiik kidiseb - tahab kindaid,288,2
50,Kiik kidiseb (tahab kindaid),288,2
51,Suu härg,126,2
52,Kiigele kartlik,270,2
53,Suur härg.,126,2
54,Kiigele tooja ei too mune,259,2
55,Kiigele tulejal ei ole muna,259,2
56,Kiigele tuleja ilma külakostita,259,2
57,Suur härg - härja tapp,126,2
58,Kiik kiunub,288,2
59,Suur tamm,134,2
60,(?) Tamm,134,2
61,Tamm,134,2
62,Mardi laul,190,2
63,Mardialul,190,2
64,Mardil.,190,2
65,Mardilau,192,2
66,Mardilaul,190,2
67,Mardisandi l.,190,2
68,Mardisandi laul,190,2
69,Mardisandilaul,190,2
70,Mardisantide laul,190,2
71,Karskuse õpetus,327,2
72,Meri - tamm,279,2
73,Karskuseõpetus neiule,327,2
74,Ollest tamm,134,2
75,Saar tamm,134,2
76,Suur tamm.,134,2
77,Tähemõrsja,127,2
78,Karskuseõpetus,327,2
79,Venna otsija,130,2
80,Venna otsimine,130,2
81,Venna otsija/Uppunud vend,130,2
82,Uppunud vend (venna otsija),130,2
83,Karske neiu.,334,2
84,Karske neiu,334,2
85,Uppund vend,130,2
87,Uppunud vend,130,2
88,Ristitud mets,141,2
89,Kolm kotkast,184,2
90,3 kotkast,184,2
91,Kee pada,339,2
92,Keeda putru,342,2
93,Ketilaul - Onnimanni,326,2
94,Kett,343,2
95,Kits karja,343,2
96,Kiri kits,343,2
98,Kits kile karja,343,2
99,Kits - krapp,347,2
100,Kits (krapp),347,2
101,"Kits, karja",343,2
102,Karja-kits,349,2
103,Karjakits,349,2
104,Kits,347,2
105,Kits ja perenaine,349,2
106,Kits kilu karja,343,2
107,Kits metsa,343,2
108,Kits tahab heinu,349,2
109,Kits teile karja,343,2
110,Kits-krapp,347,2
111,"Kits, krapp",347,2
112,Kitse krapp,347,2
113,Üks pole ühte,351,2
114,Kallis kiik,297,2
115,Kallis neiu kiigel,270,2
116,Kehvad kiigesepad,304,2
117,Kiiga katsumine,267,2
118,Kiige all kenad poisid,260,2
119,Kiige katsumine - kiik kitsas,175,2
120,Kiige kiitmine,296,2
121,Kiige kiitus,298,2
122,Kiige laul,255,2
123,Kiige tegemine,304,2
124,Kiige toomine,294,2
125,Kiige ärasaatmine,316,2
126,Kiigel kartlik,270,2
127,Arg kosilane,144,2
128,Kiigelaul,255,2
129,Kiigele ehtimine,261,2
130,Kiigele kutse,257,2
131,Arg kosilane - püssil,144,2
132,Arg kosija,144,2
133,Arg kosilane ?,144,2
134,Arg peig,144,2
135,Kiik halval kohal,304,2
136,Arg peiu,144,2
137,Arg poiss,144,2
138,Kiigelekutse,258,2
139,Kiigemaa otsimine,358,2
140,Ema müüs tütreid,159,2
141,Hiie noormees,135,2
142,Hiie noorem poeg,135,2
143,Hiie noorem peeg,135,2
144,Hiie noorem vend,135,2
146,Hiie kaudu,135,2
147,Hiie poeg,135,2
148,Hiielaul,135,2
149,Kosilane kaevul,8,2
150,Kosilane kaevul.,8,2
151,Kosilased kaevul,8,2
152,Kiigepäevad mööda,315,2
153,Lunastatatav neiu,142,2
154,Küsimused,360,2
155,Lunastatav naine,142,2
156,Lunastatav neiu,142,2
157,Lunastatav neiu - sõjast,142,2
158,Kolm metsa,352,2
159,Kiigutage tasa,286,2
160,Kiigutaja palk,284,2
161,Lunastatav neiu (C),159,2
162,Lunastatav neiu.,145,2
163,Kiik aita,314,2
164,Lunastatav õde,142,2
165,Lunastetav neiu,142,2
166,Mareta,140,2
167,Mareta laps,140,2
168,Mareta laul,140,2
169,Mareta poeg,140,2
170,Maretalaul,140,2
171,Liiri lõõri,363,2
172,Liiri-lõõri,363,2
173,Liiri- lõõri,363,2
174,Liiri-lõõri lõokene,363,2
175,"Liiri, lõõri",363,2
176,"Liiri, lõõri lõokene",363,2
177,Mehetapja,149,2
178,Mehetapja Mai,149,2
179,Maie,149,2
180,Maie l,149,2
182,Maie l.,149,2
183,Maie laul,149,2
184,Maielaul,149,2
185,4 metsa,364,2
186,Mis mees merest tõuseb,131,2
187,Kuldmees,131,2
188,"Kuld-, hõbe- jne. mees",131,2
189,"Kuld, hõbe jne. mees",131,2
190,Müüdud neiu,145,2
191,Miks müüsid tütreid,159,2
192,Naisetapja,148,2
193,Naisetapja Toomas,148,2
194,Toomas naisetapja,148,2
195,Tooma laul,148,2
196,Toomalaul,148,2
197,Nuttev tamm,133,2
198,Nuttev tamm.,133,2
199,Nõmme poeg,137,2
200,Nõmmepoeg,137,2
201,Pea piiramine,139,2
202,Pea pesemine,139,2
203,Peapiiraja,139,2
204,Pea piiraja,139,2
205,Peiu laev,143,2
206,Kalmuneid,371,2
207,Kalmuneiu,371,2
208,Kalmumine,371,2
209,Roo robina,138,2
210,Roos robin,138,2
211,Suisa suud,136,2
212,Tütar vette,158,2
213,Tütar vette!,158,2
214,Ema ei viinud vette,158,2
215,Tütart vette,158,2
216,Tütred vette,146,2
217,Tütarde tapja,146,2
219,Ehted kadunud,173,2
220,Ehted riisutud,174,2
221,Ehted kadunud (riisutud),173,2
222,Ehted katki,175,2
223,Ehted riisutud.,174,2
224,Ehted röövitud,176,2
225,Ehted varastatud,176,2
226,"Neiu kodu kaebamas, et ehted katki",175,2
227,Sõrmus kadunud,372,2
228,Sõrmus varastatud,372,2
229,Haned kadunud,168,2
230,Kas hani nägite,168,2
231,Haned kadund,168,2
232,Hobune murtud,171,2
233,Hobune varastatud,170,2
234,Hobune kadund,373,2
235,Hobune kadunud,373,2
236,Hobune varastet,170,2
237,Varastatud hobune,170,2
