koguja_id,nimi,flags
1,koguja teadmata,0
2,A. C. F. G.,0
3,A. E. R. (neiu Rakverest),0
4,A. J.,0
5,A. M.,0
6,"Aadamson, Jaan",0
7,"Aasberg (Asberg), Georg J.",0
8,"Adeleid, Jaan",0
9,"Adeleid, Julius",0
10,"Adelson, Jüri",0
11,"Ainson, H.",0
12,"Ainson, Hans",0
13,"Ainson, Jaan",0
14,"Aint, Kristjan",0
15,"Aitsam, Mihkel",0
16,"Akel, M.",0
17,Aleksandrikooli kasvandik,0
18,"Allas, Carl (Karl)",0
19,"Allik, M.",0
20,"Allikas, T.",0
21,"Alt, Jaan",0
22,"Altschneider, G.",0
23,"Aman, H.",0
24,"Amberg, Johan",0
25,"Andrei, Aado",0
26,"Andresson, Julie",0
27,"Angelus, Karl (C.)",0
28,"Anniko, Gustav",0
29,"Anniko, Hendrik",0
30,"Annuk, Aleksander",0
31,"Annus, K.",0
32,"Ant, J.",0
33,"Antje, Mart",0
34,"Arak (Arrak), D.",0
35,"Arst, Liisa",0
36,"Artis, Aleksander",0
37,"Aru, J.",0
38,"Aspe, Elisabeth",0
39,"Asper, Hans",0
40,"Asper, Jakob",0
41,"Asper, Toomas (Thomas)",0
42,"Aun, Elise Rosalie",0
43,"Baader, H.",0
44,"Bachmann, Emilie",0
45,"Bausk (Pausk), Jaan",0
46,"Berg, C.",0
47,"Bergmann, Emilie (Emiilie)",0
48,"Bergmann, Jaan",0
49,"Bergmann, Marie",0
50,"Bergmann, Sophie",0
51,"Bernstein, Adolf Ferdinand",0
52,"Bibikov, R.",0
53,"Birkenbaum, J.",0
54,"Birkenthal, Peeter",0
55,"Blaubrik, Karl",0
56,"Blumenfeldt, Anna",0
57,Bochmann,0
58,"Bock, Jaan",0
59,"Borman, Aleksander",0
60,"Bormann, Aleksander",0
61,"Brunnberg, J. P.",0
62,"Brücker, E.",0
63,"Brücker, Johann (Juhan)",0
64,"Böckler (Pöckler), Hindrek",0
65,"Böhr, J.",0
66,"D-ng (Dööring?), Jaacop (Jaakop)",0
67,"Drehs, J.",0
68,"Dreihsler, Emilie",0
69,E. U.,0
70,"Ederberg, Friedrich Wilhelm",0
71,"Edur, J.",0
72,"Eichwald, Peeter",0
73,"Eikelmann, Martin",0
74,"Einbluth, Priidik",0
75,"Einer, Jaan (Johannes)",0
76,"Einer, Peeter",0
77,"Einmann, J.",0
78,"Einstruck, Johannes",0
79,"Elbrecht, M.",0
80,"Elend, Jaan",0
81,"Elias (Eljas), Mihkel",0
82,"Elken (Imakaevu), Anna Maria",0
83,"Elken, Juhan (Johan)",0
84,"Ellert (Janson), Emilie",0
85,"Eriksohn, Aleksander Gustav",0
86,"Erm, J.",0
87,"Erm, Johan",0
88,"Ermann, Juhan",0
89,"Erme, Johannes Eduard",0
90,"Esken, Johannes",0
91,"Evert, Johan",0
92,"Evert, Mart (Märt)",0
93,"Everth, J. W.",0
94,"Feldmann, J.",0
95,"Feldmann, J. A.",0
96,"Fliedermann, Madis",0
97,Flink (neiu Flink),0
98,"Fluss, Karl (Carl)",0
99,"Forsberg (Alava), Vihtori",0
100,"Freimann, Joosep",0
101,"Freundlich, Carl Wilhelm",0
102,G. G.,0
103,"Gerberson, Jaan",0
104,"Gerberson, Melanie",0
105,"Getreu, Jüri",0
106,"Grant, Eduard",0
107,"Grau, Kristjan",0
108,"Grenberg (Greenberg), Aleksander",0
109,"Grenzstein, T.",0
110,"Grepp, E. B.",0
111,"Gross, Kristjan",0
112,"Grossholm, Reinhold",0
113,"Grossschmidt, Otto",0
114,"Grünfeldt, Peeter",0
115,"Grünstamm, Voldemar",0
116,"Gutves, Jaan",0
117,H. F. K.,0
118,H. S.,0
119,"Habicht, Gustav",0
120,"Haho, K.",0
121,"Hannov, Ernst",0
122,"Hannus, Jaan",0
123,"Hanson, Aleksander",0
124,"Hansschmidt, J.",0
125,"Hansschmidt, M.",0
126,"Hansschmit, Johan",0
127,"Haus, K. J.",0
128,"Heek, Nikolai",0
129,"Heek, P.",0
130,"Heering, Hindrik",0
131,"Heidenthal, A.",0
132,Hellat (stud),0
133,"Hendel, Hermann",0
134,"Henno, Hain",0
135,"Hennu, Jaan",0
136,"Heraklides, Aleksander",0
137,"Hermann, C.",0
138,"Holm, Karl",0
139,"Holm, Madis",0
