laul_id,zanr_id,jrk,originaal
aesmt20600140000,22,1,
aesmt28200120000,10,1,
aesmt28300060002,17,1,
aesmt28300060002,27,2,
aesmt28300230002,8,1,
aesmt28300230002,27,2,
aesmt28900310000,17,1,
aesmt28900310000,27,2,
aesmt28900400000,17,1,
aesmt28900400000,27,2,
aesmt29400030003,14,1,
aesmt29400410029,4,2,
aesmt29400410029,17,1,
aesmt29400540041,15,1,
aesmt29400540041,22,2,
aesmt29700640000,20,1,
aesmt29700710000,17,1,
aesmt29700710000,20,2,
ars0104670010,26,1,rl/ul/mngl
ars0105010011,26,1,rl/ul/mngl
ars0106230001,26,1,rl/ul/mngl
ars0107970001,22,1,Ul
ars0108490002,10,1,lh
ars0108490005,9,1,rl/ul/tl
ars0202480016,26,1,ll/ns
ars0203130081,10,1,lh
ars0203170084,10,1,lh
ars0203450112,9,1,rl/ul/tl
e0000000X0208,5,1,j
e0000000X0232,21,1,Ll/ul
e000000XI0022,19,1,Rmngl
e000000XI0024,19,1,Rmngl
e000000XI0025,19,1,Rmngl
e000000XI0026,19,1,Rmngl
e000000XI0027,19,1,Rmngl
e000000XI0028,19,1,Rmngl
e000000XI0033,19,1,Rmngl
e000000XI0034,19,1,Rmngl
e000000XI0035,19,1,Rmngl
e000000XI0036,22,1,Ul
e000000XI0038,19,1,Rmngl
e000000XI0133,19,1,Rmngl
e000000XI0171,19,1,Rmngl
e000000XI0178,19,1,Rmngl
e000000XV0242,22,1,Ul
e000001760000,22,1,
e00000188000a,15,1,nl
e00000188000b,15,1,nl
e00000188000c,15,1,nl
e00000188000d,15,1,nl
e000001890000,15,1,nl
e000003630000,22,1,Ul
e000005370000,22,1,Ul
e000005430000,22,1,Ul
e000005450000,22,1,Ul
e000006090000,20,1,Rl/ul
e000006290010,22,1,Ul
e000006340006,15,1,nl
e00000638000a,15,1,nl
e00000XII0074,8,1,Uk/rl
e00000XII0074,27,2,Uk/rl
e00000XII0204,22,1,Ul
e00000XII0206,22,1,Ul
e00000XIV0238,19,1,Rmngl
e00000XIV0314,22,1,Ul
e00000Xll0182,22,1,Ul
e000010540001,19,1,ul/Mngl
e000010540002,19,1,ul/Mngl
e000010550003,19,1,ul/Mngl
e000010570004,19,1,
e000011320000,22,1,
e000013080000,22,1,
e000013630012,22,1,Ul
e000014030000,10,1,lh
e00001404000a,10,1,lh
e00001404000b,10,1,lh
e00001404000c,10,1,lh
e00001404000d,10,1,lh
e00001405000a,10,1,lh
e00001405000b,10,1,lh
e00001405000c,10,1,lh
e00001405000d,10,1,lh
e00001405000e,10,1,lh
e00001406000a,10,1,lh
e00001406000b,10,1,lh
e00001406000c,10,1,
e00001406000d,10,1,lh
e00001406000e,10,1,lh
e00001406000f,10,1,lh
e00001407000a,10,1,lh
e00001407000b,10,1,lh
e00001407000c,10,1,lh
e000015010001,16,1,
e000015010002,16,1,
e000015010003,16,1,
e000016020000,19,1,ul/Mngl
e000016030000,26,1,rl/ul/mngl
e000019780014,19,1,ul/Mngl
e000019790015,19,1,ul/Mngl
e000019800016,19,1,ul/Mngl
e000020220053,22,1,Ul
e000046510020,9,1,
e000049040006,12,1,
e000049040006,27,2,
e000049060007,13,1,
e000051390007,22,1,Ul
e000051400010,22,1,Ul
e000051400015,22,1,Ul
e000052800051,10,1,lh
e000062820005,19,1,ul/Mngl
e000065190000,22,1,Ul
e000067590002,22,1,Ul
e000068280001,22,1,Ul
e000068280002,22,1,Ul
e000069300003,22,1,Ul
e00006931005a,22,1,Ul
e000071470008,19,1,ul/Mngl
e000071480009,19,1,
e000071520012,19,1,
e000076400010,22,1,Ul
e000076670011,20,1,
e000076780006,19,1,ul/Mngl
e000077000012,26,1,rl/ul/mngl
e000077060020,19,1,ul/Mngl
e000077320004,20,1,Rl/ul
e000077740006,20,1,Rl/ul
e000078860011,19,1,ul/Mngl
e000078890012,19,1,ul/Mngl
e000079210002,20,1,Rl/ul
e000080640051,20,1,Rl/ul
e000082070001,20,1,Rl/ul
e000082320011,20,1,Rl/ul
e000085810019,10,1,lh
e000086030003,22,1,Ul
e000086200016,20,1,Rl/ul
e000086730005,22,1,Ul
e000086760002,22,1,Ul
e000087520007,22,1,Ul
e000087710003,20,1,Rl/ul
e000087770001,22,1,Ul
e000087800002,22,1,Ul
e000088650078,20,1,Rl/ul
e00008885008a,10,1,lh
e00008885008b,10,1,lh
e00008885008d,10,1,lh
e00008886008e,10,1,lh
e000089420027,10,1,lh
e000089420028,10,1,lh
e000089420029,10,1,lh
e000089460040,19,1,ul/Mngl
e000089710002,22,1,Ul
e000090170002,22,1,Ul
e000090820013,19,1,ul/Mngl
e000090970015,22,1,Ul
e000090990018,22,1,Ul
e000091000000,2,1,andm
e000093190009,22,1,Ul
e000093650045,22,1,Ul
e000094160093,22,1,Ul
e000094990015,22,1,Ul
e000095000016,22,1,Ul
e000095050021,22,1,Ul
e000095610003,22,1,
e000098930007,22,1,Ul
e000102190000,22,1,Ul
e000110430012,22,1,Ul
e000110480017,22,1,Ul
e000110500018,22,1,Ul
e000118860007,22,1,Ul
e000120420008,19,1,ul/Mngl
e000128230000,20,1,Rl/ul
e000129070002,20,1,Rl/ul
e000129440047,22,1,Ul
e000129520001,19,1,ul/Mngl
e000129950002,22,1,Ul
e000129950003,22,1,Ul
e000129950004,9,1,
e000132050001,14,1,Mng
e000132060000,19,1,ul/Mngl
e000133950000,7,1,kiri
e000137680004,10,1,lh
e000138170017,20,1,Rl/ul
e000138170018,20,1,Rl/ul
e000139980001,22,1,Ul
e000139990002,19,1,
e000140380031,22,1,Ul
e000142210002,14,1,
e000142210002,27,2,
e000142840000,14,1,Mng
e000143190003,22,1,Ul
e000152330000,20,1,Rl/ul
e000152670001,11,1,mst
e000158170000,10,1,lh
e000168570001,22,1,Ul
e000168580002,22,1,Ul
e000168580004,22,1,Ul
e000168590006,22,1,Ul
e000168600007,22,1,Ul
e000169710003,10,1,lh
e000171810029,14,1,Mng
e000172820022,22,1,Ul
e000175770003,14,1,
e000179590000,22,1,Ul
e000181990011,22,1,Ul
e000183840000,22,1,
e000184150000,22,1,Ul
e000184420000,10,1,lh
e000184440000,10,1,lh
e000185390004,22,1,Ul
e000185390005,8,1,uk
e000188300000,22,1,Ul
e000188310000,22,1,Ul
e000188790003,20,1,Rl/ul
e000189860000,22,1,Ul
e000190460002,22,1,Ul
e00019149000c,22,1,Ul
e000191820004,19,1,Rmngl
e000191840006,19,1,Rmngl
e000192060002,22,1,Ul
e000192100003,22,1,Ul
e000193710008,10,1,lh
e000194160000,10,1,lh
e00019416000a,10,1,
e00019416000b,10,1,lh
e000200730002,22,1,Ul
e000200740003,22,1,Ul
e000206580004,22,1,
e000207290000,10,1,lh
e00020729000a,10,1,lh
e000209040000,22,1,Ul
e000226360003,10,1,lh
e00022777000a,22,1,Ul
e000231880000,6,1,keel
e000238040008,26,1,ll/ns
e000240340007,22,1,Ul
e000240360011,20,1,Rl/ul
e000240410019,22,1,Ul
e000244920000,10,1,lh
e000245750058,11,1,mst
e000245760028,11,1,mst
e000247760002,22,1,Ul
e000248100100,11,1,mst
e000248930014,22,1,Ul
e000249850000,22,1,Ul
e000250210013,22,1,Ul
e000252410001,22,1,lk:ul
e000252510012,22,1,Ul
e000254330000,26,1,rl/ul/mngl
e000254350001,22,1,Ul
e000257130002,20,1,Rl/ul
e000259480000,22,1,Ul
e000261200001,14,1,Mng
e000262940008,19,1,ul/Mngl
e000264140001,10,1,lh
e000264140002,10,1,lh
e000264140003,10,1,lh
e000264340026,20,1,Rl/ul
e000264380005,22,1,Ul
e000267380000,22,1,Ul
e000269770012,20,1,Rl/ul
e000269870016,22,1,Ul
e000272200000,14,1,Mng
e000273410008,22,1,Ul
e000274840002,22,1,Ul
e000276690006,22,1,Ul
e000276690007,22,1,Ul
e000279980012,22,1,Ul
e000280380016,22,1,Ul
e000281530028,22,1,Ul
e000287580064,22,1,Ul
e000287610065,22,1,Ul
e000289150022,20,1,Rl/ul
e000295720000,10,1,lh
e000295960002,10,1,lh
e000301380005,20,1,Rl/ul
e000301390006,22,1,Ul
e000301400000,22,1,Ul
e000301410000,22,1,Ul
e000301480010,22,1,Ul
e000308290009,22,1,Ul
e000308320011,22,1,Ul
e000308340012,22,1,
e000308440013,22,1,Ul
e000308530010,22,1,Ul
