id,zanr_vana,zanr1,zanr2,zanr3,lliik,liik_vana
1,(?) mngl,,,,Laulumängud(?),
2,(?) rl kirj,,,,Omalooming?,
3,(?) ul,uuem rahvalaul,,,,
4,(?)lh,loodushäälend,,,,
5,?,varia,,,,
6,aj,ajalugu,,,,
7,andm,andmed,,,,
8,andm  rl,varia,,,,
9,andm k/rl,mäng,regilaul,,,
10,andm lh,loodushäälend,,,,
11,andm ll,andmed,regilaul,,Lastelaulud,
12,andm ns/rl,kombekirjeldus,regilaul,,Loitsud,
13,andm rl,andmed,,,,
14,andm rl/ll,andmed,regilaul,,Lastelaulud,
15,andm rl/mngl,andmed,regilaul,,Laulumängud,
16,andm rl/ns,andmed,regilaul,,Loitsud,
17,andm uk/rl,kombekirjeldus,regilaul,,,
18,andm ul,andmed,uuem rahvalaul,,,
19,andm/ rl,andmed,regilaul,,,
20,andm/etn/muist,etnograafia,muistend,,,
21,andm/etn/rl,etnograafia,regilaul,,,
22,andm/kiri,kiri,,,,
23,andm/kiri/rl,kiri,regilaul,,,
24,andm/ll,varia,,,Lastelaulud,
25,andm/ns,kombekirjeldus,regilaul,,Loitsud,
26,andm/ns/rl,kombekirjeldus,regilaul,,Loitsud,
27,andm/rl,andmed,regilaul,,,
28,andm/rl/ul,andmed,siirdevormiline laul,,,
29,arh,jutt,,,,
30,etn/rl,etnograafia,regilaul,,,
31,j,jutt,,,,
32,j/l,jutt,siirdevormiline laul,,,
33,j/lh,jutt,loodushäälend,,,
34,j/nlj/rl,naljand,regilaul,,,
35,j/ns,jutt,regilaul,,Loitsud,
36,j/rl,jutt,regilaul,,,
37,j/rl kirj,jutt,regilaul,,,
38,j/rl/ll,jutt,regilaul,,Lastelaulud,
39,j/rl/ns,jutt,regilaul,,Loitsud,
40,j/rl/ul,jutt,siirdevormiline laul,,,
41,j/rl/ul/tl,jutt,labajalalaul,,,
42,j/ul,jutt,uuem rahvalaul,,,
43,j/ul/rl,jutt,siirdevormiline laul,,,
44,k,kombekirjeldus,,,,
45,k pulm/rl,kombekirjeldus,regilaul,,Pulmalaulud,
46,k/andm rl,kombekirjeldus,,,,
47,k/pl,kombekirjeldus,regilaul,,Pulmalaulud,
48,k/rl,kombekirjeldus,regilaul,,,
